Index,Date,Day,Week,Course,Credits,Rec,Hr,Met_rec,Sick,Notes,Hex_Code
1,8-Jan-24,Monday,01,ACCTG 201,3,9,#N/A,0,0,Date: Winter semester (2024),#8e7cc3
2,8-Jan-24,Monday,01,MATH 101,4,12,00.50,1,0,Week: of semester,#ea4335
3,8-Jan-24,Monday,01,CSE 111,2,6,#N/A,0,0,,#34a853
4,8-Jan-24,Monday,01,MKT 275,3,9,#N/A,0,0,,#4285f4
5,8-Jan-24,Monday,01,MATH 221,3,9,#N/A,0,0,,#ff6d01
6,9-Jan-24,Tuesday,01,ACCTG 201,3,9,03.00,0,0,,
7,9-Jan-24,Tuesday,01,MATH 101,4,12,00.25,1,0,,
8,9-Jan-24,Tuesday,01,CSE 111,2,6,00.25,0,0,,
9,9-Jan-24,Tuesday,01,MKT 275,3,9,03.75,0,0,,
10,9-Jan-24,Tuesday,01,MATH 221,3,9,#N/A,0,0,,
11,10-Jan-24,Wednesday,01,ACCTG 201,3,9,#N/A,0,0,,
12,10-Jan-24,Wednesday,01,MATH 101,4,12,02.75,1,0,,
13,10-Jan-24,Wednesday,01,CSE 111,2,6,#N/A,0,0,,
14,10-Jan-24,Wednesday,01,MKT 275,3,9,00.50,0,0,,
15,10-Jan-24,Wednesday,01,MATH 221,3,9,#N/A,0,0,,
16,11-Jan-24,Thursday,01,ACCTG 201,3,9,00.75,0,0,,
17,11-Jan-24,Thursday,01,MATH 101,4,12,06.25,1,0,,
18,11-Jan-24,Thursday,01,CSE 111,2,6,00.25,0,0,,
19,11-Jan-24,Thursday,01,MKT 275,3,9,#N/A,0,0,,
20,11-Jan-24,Thursday,01,MATH 221,3,9,01.50,0,0,,
21,12-Jan-24,Friday,01,ACCTG 201,3,9,00.25,0,0,,
22,12-Jan-24,Friday,01,MATH 101,4,12,03.25,1,0,,
23,12-Jan-24,Friday,01,CSE 111,2,6,00.25,0,0,,
24,12-Jan-24,Friday,01,MKT 275,3,9,02.00,0,0,,
25,12-Jan-24,Friday,01,MATH 221,3,9,03.75,0,0,,
26,13-Jan-24,Saturday,01,ACCTG 201,3,9,02.00,0,0,,
27,13-Jan-24,Saturday,01,MATH 101,4,12,#N/A,1,0,,
28,13-Jan-24,Saturday,01,CSE 111,2,6,#N/A,0,0,,
29,13-Jan-24,Saturday,01,MKT 275,3,9,00.15,0,0,,
30,13-Jan-24,Saturday,01,MATH 221,3,9,#N/A,0,0,,
31,14-Jan-24,Sunday,01,ACCTG 201,3,9,#N/A,0,0,,
32,14-Jan-24,Sunday,01,MATH 101,4,12,02.75,1,0,,
33,14-Jan-24,Sunday,01,CSE 111,2,6,#N/A,0,0,,
34,14-Jan-24,Sunday,01,MKT 275,3,9,00.25,0,0,,
35,14-Jan-24,Sunday,01,MATH 221,3,9,00.75,0,0,,
36,15-Jan-24,Monday,02,ACCTG 201,3,9,01.00,0,0,,
37,15-Jan-24,Monday,02,MATH 101,4,12,00.75,1,0,,
38,15-Jan-24,Monday,02,CSE 111,2,6,#N/A,0,0,,
39,15-Jan-24,Monday,02,MKT 275,3,9,#N/A,0,0,,
40,15-Jan-24,Monday,02,MATH 221,3,9,#N/A,0,0,,
41,16-Jan-24,Tuesday,02,ACCTG 201,3,9,#N/A,0,0,,
42,16-Jan-24,Tuesday,02,MATH 101,4,12,01.25,1,0,,
43,16-Jan-24,Tuesday,02,CSE 111,2,6,#N/A,0,0,,
