trial,roll,die_color,dot_color,number,h_die_color,h_die_hexcode,h_dot_color,h_dot_hexcode
1,1,Blue,Orange,1,Blue,#2c4e7a,Orange,#ff8c00
1,2,Blue,Orange,4,Red,#c32b13,Green,#b8dc45
1,3,Blue,Orange,5,Green,#b8dc45,Red,#c32b13
1,4,Blue,Orange,5,Purple,#ad2b6e,Green,#b8dc45
1,5,Blue,Orange,5,,,,
1,6,Blue,Orange,1,,,,
1,7,Blue,Orange,1,,,,
1,8,Blue,Orange,2,,,,
1,9,Blue,Orange,3,,,,
1,10,Blue,Orange,6,,,,
1,11,Red,Green,3,,,,
1,12,Red,Green,4,,,,
1,13,Red,Green,4,,,,
1,14,Red,Green,5,,,,
1,15,Red,Green,5,,,,
1,16,Red,Green,1,,,,
1,17,Red,Green,3,,,,
1,18,Red,Green,5,,,,
1,19,Red,Green,6,,,,
1,20,Red,Green,6,,,,
1,21,Green,Red,2,,,,
1,22,Green,Red,2,,,,
1,23,Green,Red,3,,,,
1,24,Green,Red,3,,,,
1,25,Green,Red,4,,,,
1,26,Green,Red,1,,,,
1,27,Green,Red,4,,,,
1,28,Green,Red,5,,,,
1,29,Green,Red,6,,,,
1,30,Green,Red,6,,,,
1,31,Purple,Green,1,,,,
1,32,Purple,Green,2,,,,
1,33,Purple,Green,2,,,,
1,34,Purple,Green,5,,,,
1,35,Purple,Green,6,,,,
1,36,Purple,Green,1,,,,
1,37,Purple,Green,1,,,,
1,38,Purple,Green,3,,,,
1,39,Purple,Green,6,,,,
1,40,Purple,Green,6,,,,
2,41,Blue,Orange,1,,,,
2,42,Blue,Orange,2,,,,
2,43,Blue,Orange,3,,,,
2,44,Blue,Orange,4,,,,
2,45,Blue,Orange,4,,,,
2,46,Blue,Orange,2,,,,
2,47,Blue,Orange,2,,,,
2,48,Blue,Orange,2,,,,
2,49,Blue,Orange,2,,,,
2,50,Blue,Orange,2,,,,
2,51,Red,Green,1,,,,
2,52,Red,Green,1,,,,
2,53,Red,Green,3,,,,
2,54,Red,Green,4,,,,
2,55,Red,Green,5,,,,
2,56,Red,Green,1,,,,
2,57,Red,Green,3,,,,
2,58,Red,Green,3,,,,
2,59,Red,Green,4,,,,
2,60,Red,Green,6,,,,
2,61,Green,Red,3,,,,
2,62,Green,Red,5,,,,
2,63,Green,Red,5,,,,
2,64,Green,Red,6,,,,
2,65,Green,Red,6,,,,
2,66,Green,Red,1,,,,
2,67,Green,Red,1,,,,
2,68,Green,Red,2,,,,
2,69,Green,Red,3,,,,
2,70,Green,Red,5,,,,
2,71,Purple,Green,1,,,,
2,72,Purple,Green,4,,,,
2,73,Purple,Green,5,,,,
2,74,Purple,Green,5,,,,
2,75,Purple,Green,6,,,,
2,76,Purple,Green,2,,,,
2,77,Purple,Green,3,,,,
2,78,Purple,Green,4,,,,
2,79,Purple,Green,5,,,,
2,80,Purple,Green,5,,,,
3,81,Blue,Orange,2,,,,
3,82,Blue,Orange,2,,,,
3,83,Blue,Orange,3,,,,
3,84,Blue,Orange,3,,,,
3,85,Blue,Orange,4,,,,
3,86,Blue,Orange,4,,,,
3,87,Blue,Orange,4,,,,
3,88,Blue,Orange,4,,,,
3,89,Blue,Orange,4,,,,
3,90,Blue,Orange,6,,,,
3,91,Red,Green,1,,,,
3,92,Red,Green,2,,,,
3,93,Red,Green,3,,,,
3,94,Red,Green,4,,,,
3,95,Red,Green,4,,,,
3,96,Red,Green,4,,,,
3,97,Red,Green,5,,,,
3,98,Red,Green,5,,,,
3,99,Red,Green,5,,,,
3,100,Red,Green,6,,,,
3,101,Green,Red,1,,,,
3,102,Green,Red,2,,,,
3,103,Green,Red,2,,,,
3,104,Green,Red,2,,,,
3,105,Green,Red,2,,,,
3,106,Green,Red,3,,,,
3,107,Green,Red,3,,,,
3,108,Green,Red,3,,,,
3,109,Green,Red,4,,,,
3,110,Green,Red,5,,,,
3,111,Purple,Green,3,,,,
3,112,Purple,Green,3,,,,
3,113,Purple,Green,4,,,,
3,114,Purple,Green,4,,,,
3,115,Purple,Green,5,,,,
3,116,Purple,Green,5,,,,
3,117,Purple,Green,5,,,,
3,118,Purple,Green,6,,,,
3,119,Purple,Green,6,,,,
3,120,Purple,Green,6,,,,
4,121,Blue,Orange,1,,,,
4,122,Blue,Orange,4,,,,
4,123,Blue,Orange,5,,,,
4,124,Blue,Orange,5,,,,
4,125,Blue,Orange,5,,,,
4,126,Blue,Orange,6,,,,
4,127,Blue,Orange,6,,,,
4,128,Blue,Orange,6,,,,
4,129,Blue,Orange,6,,,,
4,130,Blue,Orange,6,,,,
4,131,Red,Green,1,,,,
4,132,Red,Green,1,,,,
4,133,Red,Green,1,,,,
4,134,Red,Green,4,,,,
4,135,Red,Green,4,,,,
4,136,Red,Green,4,,,,
4,137,Red,Green,4,,,,
4,138,Red,Green,5,,,,
4,139,Red,Green,5,,,,
4,140,Red,Green,5,,,,
4,141,Green,Red,1,,,,
4,142,Green,Red,1,,,,
4,143,Green,Red,1,,,,
4,144,Green,Red,2,,,,
4,145,Green,Red,2,,,,
4,146,Green,Red,3,,,,
4,147,Green,Red,4,,,,
4,148,Green,Red,4,,,,
4,149,Green,Red,6,,,,
4,150,Green,Red,6,,,,
4,151,Purple,Green,1,,,,
4,152,Purple,Green,2,,,,
4,153,Purple,Green,2,,,,
4,154,Purple,Green,2,,,,
4,155,Purple,Green,3,,,,
4,156,Purple,Green,3,,,,
4,157,Purple,Green,4,,,,
4,158,Purple,Green,5,,,,
4,159,Purple,Green,6,,,,
4,160,Purple,Green,6,,,,
5,161,Blue,Orange,1,,,,
5,162,Blue,Orange,2,,,,
5,163,Blue,Orange,2,,,,
5,164,Blue,Orange,2,,,,
5,165,Blue,Orange,3,,,,
5,166,Blue,Orange,4,,,,
5,167,Blue,Orange,5,,,,
5,168,Blue,Orange,5,,,,
5,169,Blue,Orange,6,,,,
5,170,Blue,Orange,6,,,,
5,171,Red,Green,1,,,,
5,172,Red,Green,2,,,,
5,173,Red,Green,2,,,,
5,174,Red,Green,2,,,,
5,175,Red,Green,2,,,,
5,176,Red,Green,3,,,,
5,177,Red,Green,3,,,,
5,178,Red,Green,4,,,,
5,179,Red,Green,5,,,,
5,180,Red,Green,6,,,,
5,181,Green,Red,1,,,,
5,182,Green,Red,1,,,,
5,183,Green,Red,1,,,,
5,184,Green,Red,2,,,,
5,185,Green,Red,2,,,,
5,186,Green,Red,3,,,,
5,187,Green,Red,4,,,,
5,188,Green,Red,5,,,,
5,189,Green,Red,5,,,,
5,190,Green,Red,6,,,,
5,191,Purple,Green,2,,,,
5,192,Purple,Green,3,,,,
5,193,Purple,Green,3,,,,
5,194,Purple,Green,4,,,,
5,195,Purple,Green,4,,,,
5,196,Purple,Green,5,,,,
5,197,Purple,Green,5,,,,
5,198,Purple,Green,5,,,,
5,199,Purple,Green,6,,,,
5,200,Purple,Green,6,,,,
6,201,Blue,Orange,,,,,
6,202,Blue,Orange,,,,,
6,203,Blue,Orange,,,,,
6,204,Blue,Orange,,,,,
6,205,Blue,Orange,,,,,
6,206,Blue,Orange,,,,,
6,207,Blue,Orange,,,,,
6,208,Blue,Orange,,,,,
6,209,Blue,Orange,,,,,
6,210,Blue,Orange,,,,,
6,211,Red,Green,,,,,
6,212,Red,Green,,,,,
6,213,Red,Green,,,,,
6,214,Red,Green,,,,,
6,215,Red,Green,,,,,
6,216,Red,Green,,,,,
6,217,Red,Green,,,,,
6,218,Red,Green,,,,,
6,219,Red,Green,,,,,
6,220,Red,Green,,,,,
6,221,Green,Red,,,,,
6,222,Green,Red,,,,,
6,223,Green,Red,,,,,
6,224,Green,Red,,,,,
6,225,Green,Red,,,,,
6,226,Green,Red,,,,,
6,227,Green,Red,,,,,
6,228,Green,Red,,,,,
6,229,Green,Red,,,,,
6,230,Green,Red,,,,,
6,231,Purple,Green,,,,,
6,232,Purple,Green,,,,,
6,233,Purple,Green,,,,,
6,234,Purple,Green,,,,,
6,235,Purple,Green,,,,,
6,236,Purple,Green,,,,,
6,237,Purple,Green,,,,,
6,238,Purple,Green,,,,,
6,239,Purple,Green,,,,,
6,240,Purple,Green,,,,,
7,241,Blue,Orange,,,,,
7,242,Blue,Orange,,,,,
7,243,Blue,Orange,,,,,
7,244,Blue,Orange,,,,,
7,245,Blue,Orange,,,,,
7,246,Blue,Orange,,,,,
7,247,Blue,Orange,,,,,
7,248,Blue,Orange,,,,,
7,249,Blue,Orange,,,,,
7,250,Blue,Orange,,,,,
7,251,Red,Green,,,,,
7,252,Red,Green,,,,,
7,253,Red,Green,,,,,
7,254,Red,Green,,,,,
7,255,Red,Green,,,,,
7,256,Red,Green,,,,,
7,257,Red,Green,,,,,
7,258,Red,Green,,,,,
7,259,Red,Green,,,,,
7,260,Red,Green,,,,,
7,261,Green,Red,,,,,
7,262,Green,Red,,,,,
7,263,Green,Red,,,,,
7,264,Green,Red,,,,,
7,265,Green,Red,,,,,
7,266,Green,Red,,,,,
7,267,Green,Red,,,,,
7,268,Green,Red,,,,,
7,269,Green,Red,,,,,
7,270,Green,Red,,,,,
7,271,Purple,Green,,,,,
7,272,Purple,Green,,,,,
7,273,Purple,Green,,,,,
7,274,Purple,Green,,,,,
7,275,Purple,Green,,,,,
7,276,Purple,Green,,,,,
7,277,Purple,Green,,,,,
7,278,Purple,Green,,,,,
7,279,Purple,Green,,,,,
7,280,Purple,Green,,,,,
8,281,Blue,Orange,,,,,
8,282,Blue,Orange,,,,,
8,283,Blue,Orange,,,,,
8,284,Blue,Orange,,,,,
8,285,Blue,Orange,,,,,
8,286,Blue,Orange,,,,,
8,287,Blue,Orange,,,,,
8,288,Blue,Orange,,,,,
8,289,Blue,Orange,,,,,
8,290,Blue,Orange,,,,,
8,291,Red,Green,,,,,
8,292,Red,Green,,,,,
8,293,Red,Green,,,,,
8,294,Red,Green,,,,,
8,295,Red,Green,,,,,
8,296,Red,Green,,,,,
8,297,Red,Green,,,,,
8,298,Red,Green,,,,,
8,299,Red,Green,,,,,
8,300,Red,Green,,,,,
8,301,Green,Red,,,,,
8,302,Green,Red,,,,,
8,303,Green,Red,,,,,
8,304,Green,Red,,,,,
8,305,Green,Red,,,,,
8,306,Green,Red,,,,,
