glpostingdate,timestamp,aftercloseflag,sourcename,glaccountid,glaccountname,deptname,divisionname,deptid,dividx,username,ref1,sourceidx,drcr,amount,dr,cr,reportdate,astitle,ascompanyname,rolluppayments,ponum
10/1/25 0:00,10/6/25 11:38,N,Invoicing,655,Freight,Hamer ,Rigby Produce,2,1,JULIE,"Bob Evans Farms`203091Lima, OH",10,C,-803.23,0,803.23,"Nov 14, 2025 17:49:17",GL Activity Detail Report by Account,"Rigby Produce, Inc.",566,
10/1/25 0:00,10/6/25 11:38,N,Invoicing,655,Freight,Hamer ,Rigby Produce,2,1,JULIE,"Bob Evans Farms`203092Lima, OH",10,C,-803.23,0,803.23,"Nov 14, 2025 17:49:17",GL Activity Detail Report by Account,"Rigby Produce, Inc.",569,
10/2/25 0:00,10/6/25 11:43,N,Invoicing,655,Freight,Hamer ,Rigby Produce,2,1,JULIE,"Bob Evans Farms`203093Lima, OH",10,C,-803.23,0,803.23,"Nov 14, 2025 17:49:17",GL Activity Detail Report by Account,"Rigby Produce, Inc.",374,
10/2/25 0:00,10/6/25 11:43,N,Invoicing,655,Freight,Hamer ,Rigby Produce,2,1,JULIE,"Bob Evans Farms`203094Lima, OH",10,C,-803.23,0,803.23,"Nov 14, 2025 17:49:17",GL Activity Detail Report by Account,"Rigby Produce, Inc.",377,
10/3/25 0:00,10/6/25 15:08,N,Invoicing,655,Freight,Hamer ,Rigby Produce,2,1,JULIE,"Bob Evans Farms`203337Lima, OH",10,C,-803.23,0,803.23,"Nov 14, 2025 17:49:17",GL Activity Detail Report by Account,"Rigby Produce, Inc.",509,
10/3/25 0:00,10/6/25 15:08,N,Invoicing,655,Freight,Hamer ,Rigby Produce,2,1,JULIE,"Bob Evans Farms`203338Lima, OH",10,C,-803.23,0,803.23,"Nov 14, 2025 17:49:17",GL Activity Detail Report by Account,"Rigby Produce, Inc.",512,
10/3/25 0:00,10/6/25 15:08,N,Invoicing,655,Freight,Hamer ,Rigby Produce,2,1,JULIE,"Bob Evans Farms`203336Lima, OH",10,C,-803.23,0,803.23,"Nov 14, 2025 17:49:17",GL Activity Detail Report by Account,"Rigby Produce, Inc.",515,
10/3/25 0:00,10/6/25 15:08,N,Invoicing,655,Freight,Hamer ,Rigby Produce,2,1,JULIE,"Bob Evans Farms`203339Lima, OH",10,C,-803.23,0,803.23,"Nov 14, 2025 17:49:17",GL Activity Detail Report by Account,"Rigby Produce, Inc.",518,
10/7/25 0:00,10/8/25 14:16,N,Invoicing,655,Freight,Hamer ,Rigby Produce,2,1,JULIE,"Bob Evans Farms`203340Lima, OH",10,C,-803.23,0,803.23,"Nov 14, 2025 17:49:17",GL Activity Detail Report by Account,"Rigby Produce, Inc.",296,
10/8/25 0:00,10/10/25 7:48,N,Invoicing,655,Freight,Hamer ,Rigby Produce,2,1,JULIE,"Bob Evans Farms`203342Lima, OH",10,C,-803.23,0,803.23,"Nov 14, 2025 17:49:17",GL Activity Detail Report by Account,"Rigby Produce, Inc.",254,
